id,challenge,title,url,assessor,triplet_id,proposal_id,challenge_id,impact_note,impact_rating,feasibility_note,feasibility_rating,auditability_note,auditability_rating,not_valid_rationale,not_valid
1810,F9: Developer Ecosystem,plu-ts Typescript smart-contracts,https://app.ideascale.com/t/UM5UZBzRk,z_assessor_2242,z_assessor_2242-414103,414103,26597,"The proposal aims to create a library that can construct an AST (Abstract Syntax Tree) of Plutus Core to create smart contracts in typescript. If this could be accomplished, it could undoubtedly be very useful to developers working with typescript, especially for developers coming from other ecosystems like Ethereum. However, I don't understand some of the claims that are being made. The statement, ""this tool would also allow for existing dApp developers to generate smart contracts client-side, resulting in truly decentralized applications that could even be served statically"" seems illogical as the implication of the method of how a smart contract is created doesn't really follow to it being ""truly decentralized""",4,"The proposer seems to have some technical competence and understanding of Plutus and typescript as illustrated in the (somewhat scant) provided github repo for the project. They are also the lead developer on another project, Cardano-Trace, that was funded in Fund 8. Some questions need to be asked about the scope of what is being proposed here and how complicated this actually is. As a seasoned developer myself, my opinion is that what is being proposed is extremely difficult to achieve and would require expert level knowledge of Plutus, that could probably only be achieved from having actively worked on the development of Plutus for a while. The other huge problem here is how to get typescript to express the same semantics that are being used in Haskell - a problem that I would say is a graduate level comp sci. thesis in itself. The proposal does not address either of these issues - considerably large risks and challenges, and cannot see how this project would be feasible with the provided credentials and timeline.",1,"The proposer maintains a github repo for the opensource project which would help keep track of what is being worked on as well as provides good quality youtube videos explaining progress. It is stated that one of the goals to track the success of the project is to track developer adoption, but it is not clear how they plan to go about measuring this.",4,"The assessor seems to have an imperfect understanding of the technical aspects involved in the proposal.

This is evident in the entire assessment, but one particular sentence got my attention, I quote:

""The other huge problem here is how to get typescript to express the same semantics that are being used in Haskell - a problem that I would say is a graduate level comp sci. thesis in itself""

From a computer science theory point of view, in order to express a logic that can be expressed in a Turing-complete programming language (e.g. Haskell) in any other language, the only requisite for the target language is for the latter to be Turing-complete itself (as  typescript is).

The above let me question the effective knowledge of the assessor in the matter of computer science theory.

From a practical point of view, it appears that the assessor did not examine the proposal closely, otherwise they would have understood that the project aims to construct an Untyped Plutus Core program using Typescript, NOT a transpiler from Haskell programs to Typescript ones. 

This drastically reduces the complexity of the program being developed, and a similar approach has already been used in the implementation of known libraries such as Plutarch, proving its feasibility.


I would also like to answer the comment regarding the provenience of the smart contract, I quote:

""seems illogical as the implication of the method of how a smart contract is created doesn't really follow to it being ""truly decentralized""""

The assessor is missing the point on current practices to deploy complex protocols as decentralized applications.

For example, in decentralized exchanges
it is common to need to create a smart contract based on some platform user input (the so-called ""parametrized smart contracts"") as an example in order to set up a pool of a pair of token.

In order to create this smart contract (not known at the moment of platform deployment) the current solution is to set up a server ( a PAB ) that exposes some endpoints that allow for the creation of the above cited smart contract.

Currently the PAB solution is the only applicable one, due to the fact that the smart contract creation is limited to Haskell, which cannot run client side natively, and so is run on a centralized server.

This process centralizes the ""decentralized"" application, and this is why plu-ts will allow to overcome this issue by running on the browser, hence allowing for  ""truly decentralized"" applications.

I sincerely hope to prove this seasoned developer, that what they describe as impossible is more than feasible.",true
17822,F9: Developer Ecosystem,plu-ts Typescript smart-contracts,https://app.ideascale.com/t/UM5UZBzRk,z_assessor_3629,z_assessor_3629-414103,414103,26597,"Recommendations have a good link to the challenge settings. It aims to build a :1 click solution that will allow new developers to start rapid development and prototyping on Cardano. The challenge setting asks the tools to bring DEVS to Cardano quickly and give them a pleasant experience, and it is suggested to aim to do so (something similar to truffle on ethereum) using- create Ad-hoc private networks on Cardano;- Click to deploy;- Create smart contracts;- Deploy smart contracts; Although the idea of ​​smart contracts has been around for a long time, the world we live in today is still heavily based on paper contracts. Even when digital contracts are used, the involvement of an intermediary third party can lead to security issues or fraudulent activities along with an increase in transaction costs.",4,"- Advantages of Smart Contract:Typescript is a programming language developed and maintained by microsoft. It is a strict superset of JavaScript syntax and adds optional static type functionality to the language. Typescript is designed to develop large applications and convert to JavaScript+ Application  of smart contracts can be used in many different fields: Logistic, banking, real estate, election,...+ Freedom: Not receiving the management of any agency.+ Minimizing risks from third parties.+ Safety and transparency.+ Economical and fast.Disadvantages of Smart Contracts:+ Risks from the Internet: Can be attacked  or exploited  by hackers if they reveal important information.+ Do not receive legal rights: Rights may not be protected because there is no policy.+ High requirements on the deployment level of programmers and systems. From there, the cost to pay them and the infrastructure is not small.8 months estimated planning progress and project milestones including UPLC Ast implementations based on stats for 8 months of full-time development is $105840.Plutus is the language native smart contract for Cardano. It is a Turing complete language written in Haskell, and Plutus smart contracts are efficient Haskell programs. By using Plutus, you can be confident in the correct execution of your smart contracts. It draws from modern language research to provide a secure, full-stake programming environment based on Haskell, the leading pure functional programming language.Plutus smart contracts include parts that run on the blockchain (on-chain code) and parts that run on the user's machine (off-chain or client code). Off-chain code can be written using Plutus Application Framework (PAF), and this code is then compiled by GHC (Glasgow Haskell Compiler), while on-chain code is compiled by Plutus compiler to Plutus Core. This feature will further accelerate the development of Non Fungible Tokens (NFTs) on Cardano by allowing for the creation of much more complex mining policies and enabling the creation of NFTs in a trusted way.I approve the Challenge to create a tool with the potential to be used by the vast community of Dapp developers.DApp stands for Decentralized Application, ie Decentralized Application, also known as Decentralized Application.What makes a Dapp different from a traditional application is that it is built on a decentralized network like Ethereum.When you create Ethereum smart contracts, you write a backend code for the Dapp. And while your Dapp will have the same UI as a traditional app, all or part of the backend is built on Ethereum.The development of Dapps can be considered as a step towards a future of the Internet and can be called Web 3.0.",4,"Implementation information is sufficient to audit the progress of this proposal.However, I think the success of this proposed implementation can only be found once this smart contract is deployed and used by a number of dApps. for example. How many dApps are using this solution 6 months from now?I think in general, given the experience of the proponent, it shouldn't be difficult to provide such examples to the community. Otherwise this could end up being a great technical solution that nobody really is using :)Good luck on the implementation for the proposer :)The smart contract proposal looks like a repeatable pattern for any blockchain, and I would have liked a little more research that went into what was really needed, as so many tools already existed and challenged. The method makes them all talk to each other and run as a 1 service, not multiple services. No mention was made of existing services that the team would need to include in the solution. For example, there is no real smart contract implementation on Cardano since it doesn't reside anywhere on the blockchain, but just an address generated from the contract's CBORHEX.",4,"not relevant to the proposal, probably a bot",true
17857,F9: Developer Ecosystem,plu-ts Typescript smart-contracts,https://app.ideascale.com/t/UM5UZBzRk,z_assessor_3630,z_assessor_3630-414103,414103,26597,"Proposals have a decent connection to the test settings. It intends to construct a :1 snap arrangement that will permit new engineers to begin fast turn of events and prototyping on Cardano. The test setting requests that the instruments carry DEVS to Cardano rapidly and give them a charming encounter, and it is recommended to plan to do as such (something almost identical to truffle on ethereum) utilizing- make Ad-hoc confidential organizations on Cardano;- Snap to send;- Make brilliant agreements;- Send brilliant agreements;Albeit brilliant agreements has been around from here onward, indefinitely quite a while, the world we live in today is still vigorously founded on paper contracts. In any event, when advanced agreements are utilized, the association of a delegate outsider can prompt security issues or false exercises alongside an expansion in exchange costs.",4,"- Benefits of Smart Contract:Typescript is a programming language created and kept up with by microsoft. It is a severe superset of JavaScript grammar and adds discretionary static sort usefulness to the language. Typescript is intended to foster huge applications and convert to JavaScript+ Utilization of brilliant agreements can be utilized in a wide range of fields: Logistic, banking, land, election,...+ Opportunity: Not getting the administration of any organization.+ Limiting dangers from outsiders.+ Wellbeing and straightforwardness.+ Prudent and quick.Disservices of Smart Contracts:+ Takes a chance from the Internet: Can be gone after or taken advantage of by programmers in the event that they uncover significant data.+ Try not to get lawful privileges: Rights may not be safeguarded on the grounds that there is no approach.+ High prerequisites on the arrangement level of software engineers and frameworks. From that point, the expense to pay them and the foundation isn't little.8 months assessed arranging progress and undertaking achievements including UPLC Ast executions in view of details for quite some time of full-time improvement is $105840.Plutus is the language local shrewd agreement for Cardano. It is a Turing complete language written in Haskell, and Plutus shrewd agreements are productive Haskell programs. By utilizing Plutus, you can be certain about the right execution of your shrewd agreements. It draws from current language exploration to give a solid, full-stake programming climate in view of Haskell, the main unadulterated practical programming language.Plutus savvy contracts remember parts that run for the blockchain (on-chain code) and parts that sudden spike in demand for the client's machine (off-chain or client code). Off-chain code can be composed utilizing Plutus Application Framework (PAF), and this code is then assembled by GHC (Glasgow Haskell Compiler), while on-chain code is ordered by Plutus compiler to Plutus Core. This component will additionally speed up the improvement of Non Fungible Tokens (NFTs) on Cardano by considering the production of considerably more perplexing mining strategies and empowering the making of NFTs in a confided in manner.I support the Challenge to make an instrument with the possibility to be utilized by the tremendous local area of Dapp engineers.DApp represents Decentralized Application, ie Decentralized Application, otherwise called Decentralized Application.What makes a Dapp unique in relation to a conventional application is that it is based on a decentralized organization like Ethereum.At the point when you make Ethereum savvy contracts, you compose a backend code for the Dapp. And keeping in mind that your Dapp will have a similar UI as a customary application, all or part of the backend is based on Ethereum.The improvement of Dapps can be considered as a stage towards a fate of the Internet and can be called Web 3.0.",3,"Execution data is adequate to review the advancement of this proposition.In any case, I figure the progress of this proposed execution must be found once this brilliant agreement is conveyed and utilized by various dApps. for instance. What number of dApps are utilizing this arrangement a half year from now?I figure as a rule, given the experience of the defender, giving such guides to the community ought not be troublesome. Generally this could turn out to be an incredible specialized arrangement that no one truly is utilizing :)Best of luck on the execution for the proposer :)The shrewd agreement proposition seems to be a repeatable example for any blockchain, and I would have enjoyed somewhat more exploration that went into what was truly required, as such countless devices previously existed and tested. The technique makes them all discussion to one another and run as a 1 help, not different administrations. No notice was made of existing administrations that the group would have to remember for the arrangement. For instance, there is no genuine shrewd agreement execution on Cardano since it doesn't dwell anyplace on the blockchain, however a location created from the agreement's CBORHEX.",3,"not relevant to the proposal, probably a bot",true
735,F9: Developer Ecosystem,plu-ts Typescript smart-contracts,https://app.ideascale.com/t/UM5UZBzRk,z_assessor_2114,z_assessor_2114-414103,414103,26597,"I strongly agree that this proposal effectively addresses the challenge. The problem statement and solution targets to provide a typescript based library, name plu-ts, which can then be integrated by client side dApps (entirely running on browser) and Node Js backend dApps. Being a typescript developer myself, I see this as a big  contribution towards making Cardano development easier and available for web/JS/TS developers, who happen to be the most percentage of total developers in the world today.

Clearly, this will help to onboard Typescript/Javascript developers and hence fulfilling the multiple criterion of this challenge, such as attract more developers from outside of current community, make it easier to create a dApp, enterprise dev managers to build enterprise projects (as a very high percentage of them are familiar with typescript/javascript frameworks).

This library project is not about scalability (so we can ignore that metrics from challenge brief) as the scalability comes from the dApps that will use this library, and since this library is open source and in typescript, for which the developer community is quite huge, there will not be a lack of developers contributing to this repository and hence making it sustainable.
",5,"The proposer has no LinkedIn profile and has mentioned that it is because he is not active there. Nevertheless, the github profile links, twitter, youtube channel and the GitHub repository links with proof of concept of this proposal and timelines are provided. 

The proposer is the lead developer and the only developer who will be working on this project, with a possibility of expansion in the next fund.The developer has provided a good youtube video explaining the technical details and how he wants to fulfill this proposal solution, and a detailed features based estimation of 8 month is given

Being a typescript developer myself, I feel that he has the capability to finish this proposal. Additionally the budget requirements for a full 8 months development are justifiable. A separate amount of $30k is devoted to critical code audit. This is important and should cover the vulnerabilities present in the code. However, it would have been great if details were given of what all would be covered as part of the audit ? Since you are a single developer, what are the code quality measures ? Who will do the code review on your library code, that will potentially be used by many developers in the future.

Finally, The risks and challenges (with potential solutions) are discussed on github ReadMe. Therefore, I agree that this proposal is likely to be implemented, but because I see some room for improvement in the writeup of the proposal, I give it 4 ratings. Good luck to you for this proposal.
",4,"I agree that the information provided is sufficient to audit the progress and success of this proposal. The milestones for 8 months are well split into features, and timeline for on chain and off chain specific parts are well described on github.

The verifiability and progress of the proposal will be posted on the youtube/twitter and clearly on the github. The KPIs/metrics are not available on the proposal, however, how success of the project looks like is defined, but there could be better write up in this section. The KPIs/Metrics can be defined as github stars/forks/issues and link them to success of the project, and make it more detailed. Hence, I see some room for improvement in the write up, and go for 4 ratings.

",4,"The assessment is really appreciated, it shows the proposal has been read and understood,

the assessment also contains suggestions on how to improve the informations included in the proposal.

Regarding the amount chosen for the audit of critical code it was taken as reference based on a breif e-mail exchange with the ""runtime verification"" company, at the moment of audit requerst I'll personally reach various companies and make clear the aviable budget; based on their responses I'll choose between teh offers and let the comunity know about the choice.

I found the assessment really useful and I'd like to thank you for that.",
2592,F9: Developer Ecosystem,plu-ts Typescript smart-contracts,https://app.ideascale.com/t/UM5UZBzRk,z_assessor_2301,z_assessor_2301-414103,414103,26597,"I will be happy to be able to write smartcontracts with typscript because i am having a difficult time with Haskell/plutus and i belive it scares lots of developers asswell.
This proposal educated me on the code that runs on the Cardano nodes when validating a transaction.
This proposal is well needed and will help the developer community of cardano.
I dont need to add much as this proposal is concise and goes straight to the point.
Now considering that The team will be working on multiple projects in fund9, it would have been great to know how the team will be structured if multiple projects get funded to achieve all the projects 
goals at reasonable timelines.",5,"A detailed and clear timeline was provided with supporting youtube videos to help in understanding what the project is trying to achieve.
Verifiable links was provided to help support the capability of the team to execute the project to success.
There is a clear cost breakdown with associated timelines.
I will be giving 5 stars for feasibility.
",5,"The proposal provided every various means to audit it via social media handle, youtube videos (which already have some information),I will like to suggest to the proposer 
to also utilize some of the townhalls as a means of updating the community (just a suggestion).
I will be giving 5 stars.",5,"I'm glad you were able to read trough the proposal

I'm happy you were able to see value in what I'm trying to accomplish, I'll be happy to help the community and developers like you to provide an alternative to build your projects.

I'll definitely take in consideration the opportunity to share progress using the townhalls
",
3323,F9: Developer Ecosystem,plu-ts Typescript smart-contracts,https://app.ideascale.com/t/UM5UZBzRk,z_assessor_2352,z_assessor_2352-414103,414103,26597,"""The proposal raised the limitations of programming smart contracts in haskell language, and the idea offered a solution that would enable client-side smart contract creation. this opened the market. extensive for our smart contract, moreover will optimize the conditions allowed to use the smart contract will be many client-side objects are eligible to use.
   The presentation of the solution of the proposal is very convincing, detailed, clear with specific evidence and easy to understand, but please allow me to have a question a bit out of the way with the suggestion: if programming contracts through Verify on such a client's computer whether the transaction conditions or security features are guaranteed to be the same as the old way or not, please understand and explain more.
   The summary does mention possible risks but also offers two solutions to overcome those risks, so I support the impact of the proposal. """,5,"""Proposed delivery timelines are in weeks and months, are very detailed for each of the goals listed, and also reasonable to accomplish them.
   There are salary statistics with linked evidence, the amounts to be spent are listed in specific calculations, easy to understand them immediately, in addition, the team also has calculations for the backup budget when there are New update from the Cardano home network, there may be changes to new features for Dapps so this is necessary for the additions to catch up with the upcoming upgrades. The project team is very visionary and calculating in the future when proposing this I agree.
  Proposal Topics has provided four social networking platforms for the Proposal for the community to interact with. With experience and knowledge from this evidence I believe and appreciate the feasibility of this proposal https://twitter.com/CardanoTrace . """,5,"""this is an open source powered project so tracking the project's roadmaps is completely easy as the proposed topic already provides specific paths in the progress metrics section. That's still not enough if it can be suggested that there will be reports with live streams for the community to interact directly and critique the technological aspects, thus increasing community interaction. and approve this solution when they realize it makes sense on your live stream.
  the success of this proposal will be an increase in the number of developers using this tool which means expansion to developers on other platforms that can easily use the tool to make a contract smart on the Cardano platform. """,4,"I'm glad you were able to read through the proposal and understand the problem that tries to solve.

I personally love the idea of live streams you cited in your assessment and I think it would be an awesome way to collect the feedback of the community during the development process; will definitely consider to set up a recurring livestream.

much appreciated",
4319,F9: Developer Ecosystem,plu-ts Typescript smart-contracts,https://app.ideascale.com/t/UM5UZBzRk,z_assessor_2463,z_assessor_2463-414103,414103,26597,"It's very hard for me as a developer to write a succinct non-technical resume of this proposal, but I'll try it anyway. As far as I understand, the proposal wants to flatten the level of transformations between the smart contracts human readable code to the actual execution code. This has it's benefits, like verifying the contract locally, which really is a big deal. Imagine the human readable code passes through a translator or two, to be understandable for the execution environment, this brings more dependencies, which is more risky in general. What the proposer wants to do is create a more direct path for everyone when writing a dapp and a smart contract to be specific.
I do belive that this is a really ambicious idea, and it would have an impact over the community. I also think it's going to be challenging work, that has a possibility of not being good enough if only a partial subset of functionality is implemented, but there's no way of knowing if it's good enough or not before releasing the solution into the real world. There's no other way around it, but having said that, I do believe it's a worthy effort that needs to be tried out. It's in line with the challenge settings and does provide a solution to a very basic problem, that people just take for granted, but development could be better if this solution is implemented. 
Overall I think this is a great idea and would add a missing piece to the development flow. The impact has a really big potential. I don't have any concerns for this proposal besides the few small things I already mentioned. Good luck to the author.
",5,"The budgeting scheme is sound and I do like the project would be opensource. One thing that I found difficult to confirm were the skills of the proposer. I looked through the code in the github repositories, but there isn't anything implemented that would give any assertion for the level of skill. It's mostly documentation updates and nothing logic heavy that could verify the skills. The youtube channel did have some explanations of haskell tutorials and run through of some specifications, but no actual practical (not-examples) code written, which makes it hard for me to verify the skillset necessary for the implementation of the described proposal. That's not to say, the proposer doesn't have the necessary skills, It's just that I couldn't verify them with the resources and information given.
I do like the idea of expanding the team, once the MVP passes, because such a project would need years to mature and actually be mass adopted and usable in production code. The budget has a good breakdown, although I don't see any reasoning behind the 30k for critical code audit, and how this number came to be. This project is really complex and I find it difficult to believe that 1 person can manage the whole development. As a developer myself I know what's in the relm of possibilities and this would be near impossible, no matter how skilled you are, because it's a time problem not a skill problem. The heuristics are simply too big.
I can appreciete the idea, but overall I'm left uncertain if this is a feasible project or not. I tend to be on the sceptical side, but I choose to give the benefic of the doubt, and say I'm just unsure, giving it a score of 3 for that reason.
",3,"I don't have anything to say about the projects' auditability since if it's an open source project, anyone interested in the progress will be able to follow along using the github repository linked in the proposal. The roadmap is present and anyone can try to follow the milestones set by the author. There's a clear problem and a solution so that's good, butt I think more people should be involved in order to get this project to it's fruition.
Overall an auditable project, but I'd suggest to the author to put themselves in the shoes of the voter and read through the proposal again and polishing it in order to be more understandable for the everyday reader and make it more accessible. I wish good luck.
",5,"thank you sincerely for your assesment; 

I totally understand the concerns expressed in the feasibility section and I'll try to explain my points of view in regard to those here.

I'm sorry you weren't able  to find more information regarding my skill so I understand the overall concerns, I admit that there's in fact not much to build an option on based on what's currently online an publicly available.

regarding the amount chosen for the critical code audit it was the result of breif market research. the amount is an estimation took by a brief exchange of emails with the runtime verification copmpany.

at the time the audit will have to be performed a more in depth research will be done and the company that will perform the audit will be advised about the budget in advance.

Overall glad you see the potential that this proposal has.",
